Requirement_ID,Tier,Requirement_Name,Reference_Source,Section,Applicability_Rule,Review_Expectation,Severity_Guidance,Evidence_Required,Challenge_Reference_Rule
CC-01,Baseline,FHWA-1273 physical incorporation,FHWA-1273 + federal-aid proposal,FHWA-1273 I.1,"Federal-aid construction contract funded under Title 23, subject to stated exceptions",Flag a covered contract that only references FHWA-1273 instead of physically including the form.,Critical,Yes,"If federal-aid metadata makes FHWA-1273 applicable, the form must be physically included in the package; a reference-only statement is insufficient for challenge scoring."
CC-02,Baseline,Proposal guaranty / bid bond,DelDOT Standard Specifications + proposal,DelDOT 102.8,DelDOT bid where Section 102.8 governs,Verify acceptable proposal guaranty is provided and equals 10% of total bid price.,High,Yes,"Where applicable, proposal guaranty must equal 10% of total bid price."
CC-03,Baseline,Non-collusive bidding certification,DelDOT Standard Specifications + General Notices,DelDOT 102.15,DelDOT proposal,Verify the signed non-collusive bidding certification is included where required.,High,Yes,Required non-collusive bidding certification must be present; harmless formatting/capitalization changes are not deviations.
CC-04,Baseline,Performance and payment bonds,DelDOT Standard Specifications,DelDOT 103.5,Contract execution where Section 103.5 governs,Verify performance/payment bond coverage and surety conditions match the reference requirement.,High,Yes,"For challenge scoring, required performance and payment bond coverage is 100% of the contract price, subject to the referenced surety conditions. Resolve any later governing Addendum before flagging earlier text."
CC-05,Baseline,Contract execution and proof of insurance,DelDOT Standard Specifications,DelDOT 103.7,Successful bidder / contract execution,Verify execution timing and proof-of-insurance requirements are not omitted or materially altered.,High,Yes,"For challenge scoring, required execution documents must be returned within 20 calendar days after notice of award, and acceptable proof/certificate of insurance must be furnished before contract execution. A later governing Addendum may validly revise a named provision."
CC-06,Baseline,Contractor Registration Act notice,Delaware Contractor Registration Act + DelDOT proposal,19 Del. C. § 3604,Delaware construction/maintenance contractor context described by the proposal,Verify the draft does not contradict the proposal requirement that contractors register before performing covered work.,High,Yes,"For covered Delaware construction/maintenance work, the draft must not allow required contractor registration to occur only after work begins."
CC-07,Baseline,Delaware business / subcontractor licenses,Delaware public works licensing statute + DelDOT proposal,29 Del. C. § 6967,Delaware public works proposal,Verify required contractor business-license evidence and stated subcontractor-license submission timing are preserved.,High,Yes,"For challenge scoring, a current prime contractor occupational/business license must accompany the proposal. Subcontractor/independent-contractor license copies must be provided within 30 days after entering the public works contract, or within 10 days after a subcontractor/independent contractor is hired more than 20 days after contract entry."
CC-08,Baseline,Addenda and Q&A currency,DelDOT proposal + solicitation record,Attachments / Addenda,Project has posted addenda and/or Q&A,Verify the reviewed package acknowledges the current addenda/Q&A and does not treat the original proposal as self-updating.,High,Yes,Use the latest provided Addendum/package version. A draft that ignores a later issued Addendum is a finding.
CC-09,Baseline,Buy America / BABA applicability,Federal-aid DelDOT proposal General Notices,Buy America Requirement,Federal-aid project whose proposal states Buy America/BABA requirements apply,Verify Buy America/BABA applicability and certification language are not omitted or contradicted for a project explicitly marked as subject to the requirement.,Critical,Yes,"Apply Buy America/BABA only when project metadata/reference indicates it applies; if applicable, a clause saying it does not apply is a finding."
CC-10,Baseline,Coordination / order of precedence,DelDOT Standard Specifications,DelDOT 105.6,Multiple contract documents are incorporated and may conflict,Verify contract documents are treated as complementary and conflict resolution follows the stated order of precedence.,High,Yes,Treat contract documents as complementary and resolve conflicts using DelDOT 105.6. General Description > General Notices > Plans > Special Provisions > Standard Construction Details > Standard Specifications > Electronic Design Data Files. A later Addendum that explicitly revises a named provision governs that revised provision for this challenge.
